Id;ProductId;UserId;ProfileName;HelpfulnessNumerator;HelpfulnessDenominator;Score;Time;Summary;Text,,,,,,,,,,,
31;B003F6UO7K;AFM0O9480F04W;Sherril;0;0;5;1297641600;Great machine!;I have never been a huge coffee fan. However, my mother purchased this little machine and talked me into trying the Latte Macciato. No Coffee Shop has a better one and I like most of the other products, too (as a usually non-coffee drinker!).<br />The little Dolche Guesto Machine is super easy to use and prepares a really good Coffee/Latte/Cappuccino/etc in less than a minute (if water is heated up). I would recommend the Dolce Gusto to anyone. Too good for the price and I'am getting one myself! :),,,,,,,,,
"32;B003F6UO7K;A31OQO709M20Y7;""Molly V. Smith """"staral"""""";0;1;5;1288310400;THIS IS MY TASTE...;This offer is a great price and a great taste", thanks Amazon for selling this product.<br /><br />Staral,,,,,,,,,,
33;B001EO5QW8;AOVROBZ8BNTP7;S. Potter;19;19;4;1163376000;Best of the Instant Oatmeals;McCann's Instant Oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it. There is no escaping the fact, however, that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation.  Still, the McCann's is as good as it gets for instant oatmeal. It's even better than the organic, all-natural brands I have tried.  All the varieties in the McCann's variety pack taste good.  It can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issue.<br /><br />McCann's use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product.  Real sugar tastes better and is not as harmful as the other stuff. One thing I do not like, though, is McCann's use of thickeners.  Oats plus water plus heat should make a creamy, tasty oatmeal without the need for guar gum. But this is a convenience product.  Maybe the guar gum is why, after sitting in the bowl a while, the instant McCann's becomes too thick and gluey.,,
"34;B001EO5QW8;A3PMM0NFVEJGK9;""Megan """"Bad at Nicknames"""""";13;13;4;1166313600;Good Instant;This is a good instant oatmeal from the best oatmeal brand.  It uses cane sugar instead of high fructouse corn syrup", so not only does it have a better sweetness, but some doctors now say that this form of sugar is better for you.  Great on a cold morning when you don't have time to make McCann's Steel Cut Oats.  The apple cinnamon is the best but the maple and brown sugar or the regular are good too.  Plus they don't require doctoring to actually tell the three flavors apart.,,,,,,,,,
35;B001EO5QW8;A2EB6OGOWCRU5H;CorbyJames;9;9;5;1175212800;Great Irish oatmeal for those in a hurry!;Instant oatmeal can become soggy the minute the water hits the bowl. McCann's Instant Oatmeal holds its texture, has excellent flavor, and is good for you all at the same time. McCann's regular oat meal is excellent, too, but may take a bit longer to prepare than most have time for in the morning. This is the best instant brand I've ever eaten, and a very close second to the non-instant variety.<br /><br />McCann's Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6),,
36;B001EO5QW8;A2CI0RLADCRKPF;T. J. Ryan;3;3;4;1210464000;satisfying;McCann's Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)<br /><br />I'm a fan of the McCann's steel-cut oats, so I thought I'd give the instant variety a try. I found it to be a hardy meal, not too sweet, and great for folks like me (post-bariatric surgery) who need food that is palatable, easily digestible, with fiber but won't make you bloat.,,
"37;B001EO5QW8;A1MYS9LFFBIYKM;""Abby Chase """"gluten free"""""";2;2;5;1190851200;Love Gluten Free Oatmeal!!!;For those of us with celiac disease this product is a lifesaver and what could be better than getting it at almost half the price of the grocery or health food store!  I love McCann's instant oatmeal - all flavors!!!<br /><br />Thanks",<br />Abby,,,,,,,,,,
"38;B001EO5QW8;A3MGP2E1ZZ6GRB;""Zardoz """"focuspuller"""""";1;1;5;1238457600;it's oatmeal;""What else do you need to know? Oatmeal", instant (make it with a half cup of low-fat milk and add raisins;nuke for 90 seconds). More expensive than Kroger store brand oatmeal and maybe a little tastier or better texture or something. It's still just oatmeal. Mmm," convenient!""",,,,,,,,,
39;B001EO5QW8;A2GHZ2UTV2B0CD;JERRY REITH;0;0;4;1350777600;GOOD WAY TO START THE DAY....;I WAS VISITING MY FRIEND NATE THE OTHER MORNING FOR COFFEE , HE CAME OUT OF HIS STORAGE ROOM WITH ( A PACKET OF McCANNS INSTANT IRISH OATMEAL .) HE SUGGESTED THAT I TRY IT FOR MY OWN USE ,IN MY STASH . SOMETIMES NATE DOSE NOT GIVE YOU A CHANCE TO SAY NO , SO I ENDED UP TRYING THE APPLE AND CINN . FOUND IT TO BE VERY TASTEFULL WHEN MADE WITH WATER OR POWDERED MILK . IT GOES GOOD WITH O.J. AND COFFEE AND A SLICE OF TOAST AND YOUR READY TO TAKE ON THE WORLD...OR THE DAY AT LEAST..  JERRY REITH...,,,,,,,,
"40;B001EO5QW8;AO80AC8313NIZ;kYpondman;0;0;5;1317168000;Wife's favorite Breakfast;""I ordered this for my wife as it was reccomended by our daughter.  She has this almost every morning and likes all flavors.  She's happy"," I'm happy!!!<br /><a href=""""http://www.amazon.com/gp/product/B001EO5QW8"""">McCANN'S Instant Irish Oatmeal", Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar," 10-Count Boxes (Pack of 6)</a>""",,,,,,
41;B001EO5QW8;AQCY5KRO7489S;Garrett;0;0;5;1303430400;Why wouldn't you buy oatmeal from Mcanns? Tastes great!;The variety packs taste great!<br /><br />I have them every morning. At $0.30 cents per meal, I don't understand why everyone on earth isn't buying this stuff up.<br /><br />Maple and brown sugar is terrific, followed by apples and cinnamon, followed by regular. You don't get tired of the same ole thing, and they taste great.<br /><br />I just boil water from a small pot, empty the packet or 2 in a bowl, pour in boiling water, and watch it expand to 2x its size!<br /><br />Taste really good and takes minutes to prepare.<br /><br />Not sure why everyone on earth isn't this. Convenient, healthy, very quick, excellent quality, and extremely cheap...
"42;B001EO5QW8;A1WK4ALVZDYPUE;""Dick Baldwin """"christobe"""""";0;0;5;1302134400;Oatmeal For Oatmeal Lovers;McCann's makes oatmeal for every oatmeal connoisseur", whether one likes it from the raw pellet state that cooks for half an hour, to the sloth addled instant, which can be done in the microwave for under three minutes. It's all good, that's for sure, and the beauty of the instant variety is that it is available in different flavors as well as regular.<br />  This variety pack allows different tastes to be explored, as well as giving you a chance to experience the difference between McCann's and other well-known oatmeals. What I personally like about McCann's is that it cooks up thicker and with more body than the top brand here in America. The Apples & Cinnamon, though, tends to be a little liquidy so you may want to experiment with the amount of water you add. In my 1300watt microwave the oatmeal cooks up in about one minute and twenty-seven seconds, so you should also watch that to get a handle on how much time and water to use.<br />  The only bad thing -- if you can consider it a bad thing -- about this offering is that you have to buy in lot so you'll end up with six ten-count boxes. This is good if you have a whole family of oatmeal-eaters, but if you're a single person alone -- well, love oatmeal.
43;B001EO5QW8;A16XFOYQSJREL7;Roger Pugliese;0;0;5;1287014400;Food-Great;I have McCann's Oatmeal every morning and by ordering it from Amazon I am able to save almost $3.00 per box.<br />It is a great product. Tastes great and very healthy,,,,,,,,,,,
44;B001EO5QW8;A17DW6SUOC70DJ;Mother of 9;0;0;5;1255392000;Good Hot Breakfast;McCann's Oatmeal is a good quality choice.  Our favorite is the Apples and Cinnamon, but we find that none of these are overly sugary.  For a good hot breakfast in 2 minutes, this is excellent.,,,,,,,,,
45;B001EO5QW8;A2G7B7FKP2O2PU;D. Leschke;0;0;5;1209686400;Great taste and convenience;We really like the McCann's steel cut oats but find we don't cook it up too often.<br />This tastes much better to me than the grocery store brands and is just as convenient.<br />Anything that keeps me eating oatmeal regularly is a good thing.,,,,,,,,,,,
46;B001EO5QW8;A39Z97950MCTQE;K. A. Freel;0;0;3;1205193600;Hearty Oatmeal;This seems a little more wholesome than some of the supermarket brands, but it is somewhat mushy and doesn't have quite as much flavor either.  It didn't pass muster with my kids, so I probably won't buy it again.,,,,,,,,,
47;B001EO5QW8;AQLL2R1PPR46X;grumpyrainbow;0;0;5;1192752000;good;Good oatmeal.  I like the apple cinnamon the best.  Though I wouldn't follow the directions on the package since it always comes out too soupy for my taste.  That could just be me since I like my oatmeal really thick to add some milk on top of.,,,,,,,,,,,
"48;B001EO5QW8;A26AY1TFK8BQXQ;""kbogo """"shoelover"""""";1;2;3;1200096000;Mushy;The flavors are good.  However", I do not see any differce between this and Oaker Oats brand - they are both mushy.,,,,,,,,,,
49;B001EO5QW8;ALOR97KTZTK1P;knitty pants;1;2;4;1191715200;Very good but next time I won't order the Variety Pack;I really like the Maple and Brown Sugar flavor. The regular is fine with brown sugar added. The Apples and Cinnamon flavor is OK. This is a very quick, easy and satisfying breakfast and I'll order this brand again, but not the variety. I'll get all Maple and Brown Sugar.,,,,,,,,,
50;B001EO5QW8;A276999Y6VRSCQ;JMay;0;1;3;1334016000;Same stuff;This is the same stuff you can buy at the big box stores.  There is nothing healthy about it.  It is just carbs and sugars.  Save your money and get something that at least has some taste.,,,,,,,,,,,
51;B001EO5QW8;A108P30XVUFKXY;Roberto A;0;7;1;1203379200;Don't like it;This oatmeal is not good. Its mushy, soft, I don't like it. Quaker Oats is the way to go.,,,,,,,,,
"52;B000G6RPMY;A3S5KJDA6ED2PS;Mike Kaser;4;4;5;1243900800;HOT!  And good!  Came back for more  :);""Got a free package of these with a bottle of bloody mary mix I bought from the seller", and the advertising worked..lol,  I tried them, and shared them with 2 buddies, and we all loved them...  So im here to buy more, and noticed there were no reviews yet,...  well now there is.  They are Hot,"  but not """"burn your mouth forever hot""""  its a nice temp...  Perfect for us..""",,,,
53;B000G6RPMY;A9L6L5H9BPEBO;Edwin C. Pauzer;1;1;4;1348876800;You'll go nuts over Ass-Kickin' Peanuts.;This wasn't in stock the last time I looked. I had to go to the Vermont Country Store in Weston to find it along with a jaw harp, Cranberry Horseradish Sauce, Fartless Black Bean Salsa, Apple Cider Jelly, Newton's Cradle Art in Motion and the staple Vermont Maple Syrup.<br /><br />Back to the Ass Kickin Peanuts. They are hot. They will activate the perspiration glands behind your ears and under your arms. It requires a beverage as advertised, a glass of very cold milk, and a box of Kleenex since it will make your nose run. They look like ordinary peanuts which is already giving me ideas for work. I suspect that some people have been hitting my goodies in my absence, especially my colleague Greg. I'm going to take this to work at earliest opportunity and empty the contents of this can into an ordinary Planters Peanuts can, and then see whose crying or whose nose is running when I return.<br /><br />The can should be shaken to ensure the spices are evenly distributed. It is important to wash your hands after consumption and not touch the eyes.<br /><br />You'll go nuts over these Ass-Kickin' Peanuts.<br /><br />P.S. I'm not sharing the peanuts, not deliberately, and I'll probably give Greg the jaw harp for Christmas. He'll be so insulted.,
"54;B000G6RPMY;AQ9DWWYP2KJCQ;""Roel Trevino """"protomex"""""";0;0;3;1278028800;not ass kickin;we're used to spicy foods down here in south texas and these are not at all spicy.  doubt very much habanero is used at all.  could take it up a notch or two.",,,,,,,,,,,
"55;B002GWHC0G;A1ND7WC5LXOU48;""David Belton """"Proteus 1"""""";2;2;4;1322438400;Roasts up a smooth brew;I roast at home with a stove-top popcorn popper (but I do it outside", of course). These beans (Coffee Bean Direct Green Mexican Altura) seem to be well-suited for this method. The first and second cracks are distinct, and I've roasted the beans from medium to slightly dark with great results every time. The aroma is strong and persistent. The taste is smooth, velvety, yet lively.,,,,,,,
"56;B002GWHC0G;A2EFAW1P3DRXWO;TJ Fairfax;0;0;5;1349395200;Our guests love it!;""We roast these in a large cast iron pan on the grill (about 1/3 of the bag at a time).  The smell is wonderful and the roasted beans taste delicious too.  More importantly", the coffee is smooth; no bitter aftertaste.  On numerous occasions," we've had to send the roasted beans home with friends because they like it so much.""",,,,,,,,,
57;B004N5KULM;A202WR509428VF;amateur amazon shopper;2;2;5;1322438400;Awesome Deal!;Deal was awesome!  Arrived before Halloween as indicated and was enough to satisfy trick or treaters.  I love the quality of this product and it was much less expensive than the local store's candy.,,,,,,,,,,,
58;B004N5KULM;ASCNNAJU6SXF8;S. Beck;1;1;5;1336176000;How can you go wrong!;It is chocolate, what can I say.  Great variety of everything our family loves.  With a family of six it goes fast here.  Perfect variety.  Kit Kat, Reeses, take five and more.,,,,,,,,
"59;B004N5KULM;A2A7KXM9B4XW90;""P. Kelso """"Amazon all the way!"""""";0;0;5;1320364800;Awsome - Kids in neighborhood loved us!;Great product", nice combination of chocolates and perfect size!  The bags had plenty, and they were shipped promptly.  The kids in the neighborhood liked our candies!,,,,,,,,,
60;B004N5KULM;A2QOGOXPOVKAJG;mimimc;0;0;5;1320105600;great deal.;Halloween is over but, I sent a bag to my daughters class for her share. The chocolate was fresh and enjoyed by many.,,,,,,,,,,
"61;B004N5KULM;A1ZR8O62VSU4OK;""Lisa J. Szlosek """"lisa"""""";2;4;3;1318723200;Better price for this at Target;Watch your prices with this.  While the assortment was good", and I did get this on a gold box purchase, the price for this was<br />$3-4 less at Target.,,,,,,,,,
62;B004N5KULM;A7ZK2A3VIW7X9;Peggy;0;2;5;1319414400;pretty expensive;This bag of candy online is pretty expensive, it should be cheaper in order to compete with grocery stores, other than that, its a good combination of my favorite candy,,,,,,,,
63;B001EO5TPM;A1E09XGZUR78C6;gary sturrock;2;2;1;1215302400;stale product.;Arrived in 6 days and were so stale i could not eat any of the 6 bags!!,,,,,,,,,,,
"64;B005DUM9UQ;A3HR0ZZOFKQ97N;RLC;3;3;5;1333497600;Hammer Nutrition 's Fizz Rocks!;""I have used the endurolyte product for several years in both pill and powder form.  Long desert rides on the dirt bike always found my camelbak water heavily laced with the endurolyte powder", not overly tasty, but quite effective, as I never got a cramp on these several hundred mile rides.  Same for desert racing in the buggy, the camelbaks were always laced with the powder.  Now we have the Fizz...what a great product!  Firstly, its Hammer's endurolyte product so it's great, endurance athlete's the world over use their products. Second its convenient," handly tablets that dissovle in a fizz.  Third it tastes great! Imagine getting a nice cool drink when your body is starving for hydration and electrolytes and rather than getting a """"salty"""" taste"," you get a refreshing lemon-lime or mango!  The camelbaks always get the Fizz now.  I also drop a tablet in my bottled water whenever I exercise and have a nice flavored water chock full of electrolytes. I cannot recommend this product or any hammer product highly enough.""",,,
"65;B005DUM9UQ;A2XIHNXODNZGV4;""ChemProf """"chem professor"""""";1;1;5;1333584000;great source of electrolytes;This product serves me well as a source of electrolytes during and after a long run or bike ride.<br />I have tried all of the flavors but really do like the grapefruit flavor... no after-taste and I actually like the slight carbonation.<br />I use other Hammer products and really like their whole product line.",,,,,,,,,,,
66;B005DUM9UQ;A3TWF9DQ6MU87E;dhy4b;1;1;5;1331510400;Great for preventing cramps;This stuff really works for preventing cramping during the middle to latter stages of your rides. Pop 1 into each water bottle and you're set. Flavor is fine and goes down easy.,,,,,,,,,,,
"67;B005DUM9UQ;AEFIZIJ1FK1BK;Doug;0;0;5;1345161600;Low Carb Alternative to Gatorade;""For those of us on a low carb diet these little tablets are just the thing.<br /><br />Two years ago I started cycling again after many years but was having heart arrhythmia after longer rides in high heat.  I was drinking plain water but did a little research and thought electrolytes might be the issue.  Gatorade wasn't an option because it is so loaded with carbohydrates so I looked around for a low-carb alternative.  The """"zero carb"""" sports drinks didn't help so what to do?  One day I ran across these at my bike shop so tried a tube of them.....voila!...problem solved!!<br /><br />I've shared them with two friends in particular whose problems with leg cramps were resolved while using these.<br /><br />These guys got it right -- they are superbly formulated and simply work.....""",,,,,,,,,,,
68;B005DUM9UQ;A8OFFIAL6XTOH;Bill Shirer;0;1;2;1338422400;Taste is not so good.;I purchased the Mango flavor, and to me it doesn't take like Mango at all.  There is no hint of sweetness, and unfortunately there is a hint or aftertaste almost like licorice.  I've been consuming various sports nutrition products for decades, so I'm familiar and have come to like the taste of the most of the products I've tried.  The mango flavor is one of the least appealing I've tasted.  It's not terrible, but it's bad enough that I notice the bad taste every sip I take.,,,,,,,
69;B000E7VI7S;A1KL2LAW08X6UQ;calmnsense;0;0;3;1169251200;How much would you pay for a bag of chocolate pretzels?;If you're impulsive like me, then $6 is ok. Don't get me wrong, the quality of these babies is very good and I have no complaints. But in retrospect, the price is a little ridiculous (esp. when you add on the shipping).,,,,,,,,
